,text,embedding
0,"The name of the character is Emily.The character description is: A young woman in her early 20s, Emily is an aspiring actress and Alice's daughter. She has a bubbly personality and a quick wit, but struggles with self-doubt and insecurity. She's also in a relationship with George.The character loves to act in Play.The character lives in England","[-0.01606907 -0.0101967  -0.01507115 ...  0.00043459 -0.01008155
 -0.0297329 ]"
1,"The name of the character is Jack.The character description is: A middle-aged man in his 40s, Jack is a successful businessman and Sarah's boss. He has a no-nonsense attitude, but is fiercely loyal to his friends and family. He's married to Alice.The character loves to act in Play.The character lives in England","[ 0.00133268 -0.02162335 -0.00530458 ... -0.00353094 -0.01185038
 -0.01569162]"
2,"The name of the character is Alice.The character description is: A woman in her late 30s, Alice is a warm and nurturing mother of two, including Emily. She's kind-hearted and empathetic, but can be overly protective of her children and prone to worrying. She's married to Jack.The character loves to act in Play.The character lives in England","[ 0.00483351 -0.00739013 -0.0186835  ... -0.00276317 -0.00643059
 -0.02141577]"
3,"The name of the character is Tom.The character description is: A man in his 50s, Tom is a retired soldier and John's son. He has a no-nonsense approach to life, but is haunted by his experiences in combat and struggles with PTSD. He's also in a relationship with Rachel.The character loves to act in Play.The character lives in England","[ 0.01400075 -0.01618353 -0.00869235 ...  0.01261876 -0.01761719
 -0.0155894 ]"
4,"The name of the character is Sarah.The character description is: A woman in her mid-20s, Sarah is a free-spirited artist and Jack's employee. She's creative, unconventional, and passionate about her work. However, she can also be flighty and impulsive at times.The character loves to act in Play.The character lives in England","[-0.01699379 -0.02245287 -0.01391101 ...  0.01330731 -0.01461748
 -0.01780302]"
5,"The name of the character is George.The character description is: A man in his early 30s, George is a charming and charismatic businessman who is in a relationship with Emily. He's ambitious, confident, and always looking for the next big opportunity. However, he's also prone to bending the rules to get what he wants.The character loves to act in Play.The character lives in England","[-0.0193465  -0.01008308 -0.00798189 ... -0.01293236 -0.00634909
 -0.01877404]"
6,"The name of the character is Rachel.The character description is: A woman in her late 20s, Rachel is a shy and introverted librarian who is in a relationship with Tom. She's intelligent, thoughtful, and has a deep love of books. However, she struggles with social anxiety and often feels like an outsider.The character loves to act in Play.The character lives in England","[-0.00608356 -0.00578432  0.00232391 ...  0.01808196 -0.03825226
 -0.03033185]"
7,"The name of the character is John.The character description is: A man in his 60s, John is a retired professor and Tom's father. He has a dry wit and a love of intellectual debate, but can also be stubborn and set in his ways.The character loves to act in Play.The character lives in England","[ 0.01742861 -0.0153865  -0.0305675  ... -0.00489658 -0.01493698
 -0.01561768]"
8,"The name of the character is Maria.The character description is: A middle-aged Latina woman in her 40s, Maria is a hard-working single mother who owns a small family-run diner in a small Texas town. She's fiercely protective of her teenage daughter, Sofia, and is always trying to balance work and family.The character loves to act in Movie.The character lives in Texas","[-0.01213056 -0.01026331 -0.01443832 ...  0.00547026 -0.03576706
 -0.01278146]"
9,"The name of the character is Caleb.The character description is: A young African American man in his early 20s, Caleb is a talented musician who dreams of making it big in the music industry. He's charismatic, confident, and has a way with words. However, he's also struggling with addiction and is constantly at odds with his strict religious family.The character loves to act in Movie.The character lives in Texas","[-0.00118441 -0.01756212  0.00582083 ... -0.00044395 -0.02058342
 -0.01576219]"
10,"The name of the character is Tyler.The character description is: A white man in his mid-30s, Tyler is a tough-as-nails sheriff who takes his job very seriously. He's stoic, no-nonsense, and has a strong sense of justice. However, he's also struggling to come to terms with a recent tragedy in his personal life.The character loves to act in Movie.The character lives in Texas","[ 0.00647834 -0.03449094 -0.02116665 ...  0.00853244 -0.01617488
 -0.01368545]"
11,"The name of the character is Sonya.The character description is: A white woman in her late 20s, Sonya is a free-spirited journalist who's always on the hunt for the next big story. She's passionate, tenacious, and unafraid to speak her mind. However, she's also struggling to balance her career with her personal life, and has a tendency to push people away.The character loves to act in Movie.The character lives in Texas","[ 0.00425854 -0.02109114 -0.0315977  ...  0.00113859 -0.01403042
 -0.02236545]"
12,"The name of the character is Manuel.The character description is: A middle-aged Hispanic man in his 50s, Manuel is a proud and hard-working farmer who's struggling to keep his family's farm afloat. He's fiercely loyal to his family and his community, and will do whatever it takes to protect them.The character loves to act in Movie.The character lives in Texas","[-0.01290633 -0.01308403 -0.01051066 ...  0.01018817 -0.01674335
 -0.00908906]"
13,"The name of the character is Will.The character description is: A white man in his early 40s, Will is a successful businessman who's come back to his hometown after many years away. He's confident, charming, and knows how to get what he wants. However, he's also hiding a dark secret from his past that threatens to destroy everything he's worked for.The character loves to act in Movie.The character lives in Texas","[-0.00577658 -0.03572651 -0.00860229 ... -0.01040047 -0.0161507
 -0.0241997 ]"
14,"The name of the character is Mia.The character description is: A young Australian woman in her mid-20s, Mia is a driven and ambitious lawyer who's just landed her dream job at a top law firm in Sydney. She's the younger sister of Max, a former soldier who's struggling with PTSD, and is trying to help him navigate his challenges while also balancing her demanding career.The character loves to act in Limited Series.The character lives in Australia","[-0.01086934 -0.01276275  0.00345079 ... -0.00670125 -0.0325434
 -0.02737368]"
15,"The name of the character is Lucas.The character description is: A middle-aged Australian man in his 40s, Lucas is a successful businessman and the CEO of a major tech company. He's charming, charismatic, and has a way with people. He's been married to Ava, a successful fashion designer, for many years, but their marriage is on the rocks due to his infidelity.The character loves to act in Limited Series.The character lives in Australia","[ 0.00011266 -0.01253043 -0.01143264 ...  0.00624897 -0.01582381
 -0.02487898]"
16,"The name of the character is Tahlia.The character description is: A young Indigenous Australian woman in her early 20s, Tahlia is a talented artist who's just been accepted into a prestigious art school. She's the niece of Mia and Max, and they've been like siblings since they were young. She's struggling to find her place in the world as an Indigenous woman, but Mia and Max are always there to support her.The character loves to act in Limited Series.The character lives in Australia","[-0.01195247 -0.00512758 -0.00193215 ...  0.01737481 -0.02482486
 -0.02933376]"
17,"The name of the character is Max.The character description is: A white Australian man in his late 20s, Max is a former soldier who's struggling to adjust to civilian life after serving in Afghanistan. He's tough, no-nonsense, and has a strong sense of duty. He's the older brother of Mia, and they've always been close. He's also Ava's godson, and she's always been like a second mother to him.The character loves to act in Limited Series.The character lives in Australia","[-0.0001246  -0.02637718 -0.01994277 ... -0.01417398 -0.01630139
 -0.02068671]"
18,"The name of the character is Ava.The character description is: A middle-aged Australian woman in her 50s, Ava is a successful fashion designer who's built an empire on her impeccable taste and attention to detail. She's elegant, sophisticated, and always knows what's in style. She's married to Lucas, but their marriage is strained due to his infidelity. She's also been a mentor to Tahlia, and has helped her navigate the art world.The character loves to act in Limited Series.The character lives in Australia","[-0.00513389 -0.0042376  -0.01925704 ...  0.01958656 -0.01666044
 -0.02791678]"
19,"The name of the character is Donna.The character description is: A seasoned performer with a larger-than-life personality, Donna is confident and unapologetic on stage. She's known for her impeccable lip-sync skills and stunning costumes, but can sometimes come across as a diva behind the scenes. She's also a mentor to Johnny, helping her to hone her craft.The character loves to act in Musical.The character lives in USA","[-0.02627162 -0.01096814  0.00192916 ... -0.00940404 -0.01359011
 -0.01356415]"
20,"The name of the character is Johnny.The character description is: A young up-and-coming performer, Johnny is full of energy and enthusiasm. She's known for her edgy and unconventional looks, but can be a bit scatterbrained at times. She looks up to Donna as a mentor and hopes to follow in her footsteps.The character loves to act in Musical.The character lives in USA","[-0.02583123 -0.01600773 -0.00040918 ... -0.00963899 -0.02015599
 -0.0200033 ]"
21,"The name of the character is Sable.The character description is: A sultry and dramatic performer, Sable exudes confidence on stage. She's known for her fierce lip-syncing abilities and dramatic performances, but can sometimes be a bit too self-absorbed. She's also a rival of Donna, and the two often compete for the spotlight.The character loves to act in Musical.The character lives in USA","[-0.02759863 -0.00647816  0.00297483 ... -0.01391604 -0.01119249
 -0.00339471]"
22,"The name of the character is Dolly.The character description is: A bubbly and vivacious performer, Dolly is a fan favorite for her infectious personality and comedic performances. She's known for her campy looks and over-the-top antics, but can struggle with self-doubt and insecurity off stage. She's also a good friend of Johnny, often offering her words of encouragement.The character loves to act in Musical.The character lives in USA","[-0.03141161 -0.01484256  0.00547255 ...  0.00096148 -0.02512413
 -0.01048771]"
23,"The name of the character is Vixen.The character description is: A fierce and competitive performer, Vixen is always out to win. She's known for her aggressive lip-syncing style and high-energy performances, but can be confrontational and difficult to work with. She's also a rival of Sable, and the two often clash both on and off stage.The character loves to act in Musical.The character lives in USA","[-0.02980477 -0.01884752 -0.00312269 ... -0.01697325 -0.0312203
 -0.01016429]"
24,"The name of the character is Karma.The character description is: A chameleon-like performer, Karma is known for her ability to transform herself into any character. She's a master of illusion and is always pushing boundaries with her looks and performances, but can sometimes struggle with authenticity and staying true to herself. She's also a friend of Dolly, often offering her a listening ear when she needs it.The character loves to act in Musical.The character lives in USA","[ 0.00331902 -0.01353689 -0.00112726 ... -0.00169048 -0.01932723
 -0.03419433]"
25,"The name of the character is Crystal.The character description is: A quirky and imaginative performer, Crystal is always surprising audiences with her off-beat performances and unconventional looks. She's known for her unique creativity and imaginative approach, but can sometimes struggle with staying focused and on task. She's also a bit of a wildcard, and the other performers never know what to expect from her.The character loves to act in Musical.The character lives in USA","[-0.00810286 -0.01502689  0.00359156 ...  0.01437918 -0.03036468
 -0.02961334]"
26,"The name of the character is Olivia.The character description is: A confident and charismatic marketing executive with a heart of gold. Olivia is always the life of the party, and her infectious personality draws people to her. She's looking for someone who can keep up with her high energy and bring some stability to her life.The character loves to act in Reality Show.The character lives in USA","[-0.00808437 -0.00958844 -0.01494993 ...  0.00069409 -0.0155723
 -0.02868104]"
27,"The name of the character is Marcus.The character description is: A charming and successful entrepreneur, Marcus is used to getting what he wants. He's a smooth talker with a magnetic personality, but can sometimes come across as a bit too self-centered. He's looking for someone who can challenge him and keep him on his toes.The character loves to act in Reality Show.The character lives in USA","[-0.00522792 -0.033443    0.00185686 ... -0.02019373 -0.02015457
 -0.01602967]"
28,"The name of the character is Maya.The character description is: A kind and compassionate nurse with a heart of gold, Maya is always putting others before herself. She's looking for someone who shares her values and is committed to making the world a better place. She's not afraid to speak her mind and stand up for what she believes in.The character loves to act in Reality Show.The character lives in USA","[-0.02174366 -0.01456525 -0.01747049 ... -0.01060476 -0.02279892
 -0.01472159]"
29,"The name of the character is James.The character description is: A handsome and athletic personal trainer, James is always up for a challenge. He's looking for someone who is as passionate about fitness as he is, and who can keep up with his intense workout regimen. He can sometimes come across as a bit too competitive, but his heart is always in the right place.The character loves to act in Reality Show.The character lives in USA","[-0.02244877 -0.00584323 -0.00655237 ... -0.02066468 -0.00394362
 -0.02872519]"
30,"The name of the character is Sophia.The character description is: A fun-loving and adventurous travel blogger, Sophia is always looking for her next big adventure. She's looking for someone who can join her on her travels and share in her love of exploration. She's a free spirit who isn't afraid to take risks and try new things.The character loves to act in Reality Show.The character lives in USA","[ 0.01677552 -0.0066527  -0.00404186 ...  0.00558193 -0.01245936
 -0.0336568 ]"
31,"The name of the character is Noah.The character description is: A quirky and creative graphic designer, Noah is always pushing the boundaries with his art. He's looking for someone who can appreciate his unique perspective and isn't afraid to be a little unconventional. He's a bit of a romantic at heart, and loves nothing more than creating grand gestures of love for the people he cares about.The character loves to act in Reality Show.The character lives in USA","[-0.01715856 -0.01400054 -0.012211   ... -0.0024343   0.00435543
 -0.02952746]"
32,"The name of the character is Chloe.The character description is: A driven and ambitious attorney, Chloe is always striving for success. She's looking for someone who can match her intellect and drive, and who is supportive of her career goals. She's a bit guarded when it comes to matters of the heart, but is ready to let her guard down for the right person.The character loves to act in Reality Show.The character lives in USA","[-0.00776382  0.00099488  0.00606203 ... -0.00528109 -0.01668603
 -0.01883361]"
33,"The name of the character is Jake.The character description is: A laid-back and easygoing firefighter, Jake is the quintessential good guy. He's looking for someone who shares his values of honesty and integrity, and who is looking for a stable and committed relationship. He's a bit of a hopeless romantic, and is always looking for ways to sweep his partner off their feet.The character loves to act in Reality Show.The character lives in USA","[-0.01484103 -0.01439448  0.0069083  ... -0.00329491 -0.02659565
 -0.0232991 ]"
34,"The name of the character is Prince Lorenzo.The character description is: A charming and handsome prince who has recently returned from a long journey abroad. Prince Lorenzo is well-traveled and cultured, and his voice is smooth and velvety. He is searching for true love and has his sights set on a particular young woman.The character loves to act in Opera.The character lives in Italy","[-0.00281543 -0.01166483  0.01194443 ...  0.00906398 -0.00475631
 -0.01707461]"
35,"The name of the character is Signora Rosa.The character description is: A mysterious and alluring woman who runs a local apothecary. Signora Rosa is known for her beauty and her magical remedies, which some believe have mystical powers. Her singing voice is hauntingly beautiful and her demeanor is both captivating and enigmatic.The character loves to act in Opera.The character lives in Italy","[ 0.00477838 -0.01354144  0.00308246 ...  0.00489824 -0.0183101
 -0.00857192]"
36,"The name of the character is Baron Gustavo.The character description is: A wealthy and arrogant nobleman who loves to flaunt his wealth and status. Baron Gustavo is competitive and ruthless, and his singing voice is powerful and commanding. He is not above using his influence and resources to get what he wants, regardless of who he hurts in the process.The character loves to act in Opera.The character lives in Italy","[-0.01809116 -0.01735649  0.00742538 ... -0.01470645 -0.00570022
 -0.0062709 ]"
37,"The name of the character is Francesca.The character description is: A fiery and passionate young woman who works as a blacksmith. She is strong-willed and independent, and her singing voice is bold and powerful. Francesca has caught the eye of Prince Lorenzo, but she is hesitant to give her heart to a man who comes from such a different world.The character loves to act in Opera.The character lives in Italy","[-0.0121101  -0.01218021 -0.0016006  ...  0.02699914 -0.01097557
 -0.02003902]"
38,"The name of the character is Don Carlo.The character description is: A charming and charismatic young man who is often the life of the party. Don Carlo is quick-witted and clever, and his singing voice is playful and light. He is friends with Baron Gustavo, but his loyalty is often called into question. He is not above causing mischief and stirring up trouble for his own amusement.The character loves to act in Opera.The character lives in Italy","[-0.00690525 -0.00705608  0.02561434 ...  0.00156729 -0.016709
 -0.01527942]"
39,"The name of the character is Duke Orsino.The character description is: A pompous and self-important nobleman who is hopelessly in love with Lady Olivia. Duke Orsino is arrogant and condescending to those around him, but is also a bit of a buffoon. He is related to Sir Toby Belch, who is his uncle.The character loves to act in Play.The character lives in Ancient Greece","[-0.00750124 -0.03293413 -0.01050683 ...  0.00048833  0.0113219
 -0.01420014]"
40,"The name of the character is Lady Olivia.The character description is: A wealthy and beautiful noblewoman who has recently become a widow. Lady Olivia is melancholy and withdrawn, and refuses to entertain any suitors. She is the object of Duke Orsino's affections, but is not interested in him. She is also the cousin of Sir Toby Belch and his niece.The character loves to act in Play.The character lives in Ancient Greece","[-0.01858075 -0.01914187 -0.00849333 ...  0.00252026  0.00149845
 -0.02193472]"
41,"The name of the character is Sir Toby Belch.The character description is: A drunken and lecherous knight who loves nothing more than drinking, carousing, and making mischief. Sir Toby Belch is related to Duke Orsino and Lady Olivia, and uses this connection to his advantage.The character loves to act in Play.The character lives in Ancient Greece","[-0.00086039 -0.03052071 -0.00978195 ...  0.00108786  0.0048367
 -0.0074067 ]"
42,"The name of the character is Malvolio.The character description is: A pompous and self-righteous steward in Lady Olivia's household. Malvolio is humorless and uptight, and is often the target of Sir Toby Belch's pranks. He is secretly in love with Lady Olivia and harbors dreams of marrying her.The character loves to act in Play.The character lives in Ancient Greece","[-0.01672178 -0.02788251 -0.01670891 ...  0.01405711 -0.00146348
 -0.02916979]"
43,"The name of the character is Viola.The character description is: A plucky and resourceful young woman who is shipwrecked on the coast of Illyria. Viola disguises herself as a man, taking on the identity of Cesario, and becomes a servant in Duke Orsino's household. She develops feelings for the Duke, but is unable to reveal her true identity.The character loves to act in Play.The character lives in Ancient Greece","[-0.01292912 -0.04113523  0.00071077 ...  0.00682845 -0.02050433
  0.00280669]"
44,The name of the character is Sir Andrew Aguecheek.The character description is: A dim-witted and gullible nobleman who is brought to Illyria by Sir Toby Belch as a potential suitor for Lady Olivia. Sir Andrew Aguecheek is a perennial bachelor and is easily manipulated by those around him.The character loves to act in Play.The character lives in Ancient Greece,"[-0.01667444 -0.0200694  -0.00167626 ... -0.01031544  0.00498144
 -0.01576042]"
45,"The name of the character is Bianca.The character description is: Lady Olivia's cunning and quick-witted maid. Bianca is a master of mischief and pranks, and often collaborates with Sir Toby Belch to torment Malvolio. She is also secretly in love with Sir Toby.The character loves to act in Play.The character lives in Ancient Greece","[-0.01348697 -0.01957034 -0.00540708 ...  0.01149369 -0.00933863
 -0.0263656 ]"
46,"The name of the character is Sebastian.The character description is: Viola's twin brother, who is also shipwrecked on the coast of Illyria. Sebastian is rescued by Antonio and becomes embroiled in a series of misunderstandings and mistaken identities. He develops feelings for Lady Olivia, much to the chagrin of Duke Orsino.The character loves to act in Play.The character lives in Ancient Greece","[-0.01052771 -0.04052126  0.00301986 ... -0.00544047 -0.02659366
 -0.00925353]"
47,"The name of the character is Feste.The character description is: A jester and musician who works in Lady Olivia's household. Feste is the wisest character in the play, and uses his wit and intelligence to comment on the actions of the other characters. He is also a confidant to Viola, and helps her navigate her complicated situation.The character loves to act in Play.The character lives in Ancient Greece","[-0.00933011 -0.02441291 -0.00685999 ... -0.01565938 -0.00680757
 -0.02730891]"
48,"The name of the character is Antonio.The character description is: A sea captain who rescues Sebastian from the shipwreck. Antonio becomes devoted to Sebastian and follows him to Illyria, despite the danger it poses to himself.The character loves to act in Play.The character lives in Ancient Greece","[-0.01053585 -0.02679228 -0.0025864  ... -0.0047595  -0.02739583
 -0.00899418]"
49,"The name of the character is Abigail.The character description is: A plucky and resourceful young woman who works as a maid in one of the taverns in colonial Williamsburg. Abigail is hard-working and determined, and dreams of one day owning her own business. She has a friendly rivalry with her co-worker, Thomas.The character loves to act in Sitcom.The character lives in USA","[-0.02453908 -0.01031032 -0.0275723  ... -0.01046003 -0.03158187
 -0.00613152]"
50,The name of the character is Thomas.The character description is: A good-natured and affable young man who also works in the same tavern as Abigail. Thomas is the jester of the group and enjoys making jokes and lightening the mood. He often finds himself caught up in Abigail's schemes.The character loves to act in Sitcom.The character lives in USA,"[-0.00765317 -0.00349342 -0.01498287 ... -0.01881269 -0.02828372
 -0.01482761]"
51,The name of the character is Reverend Brown.The character description is: The pious and stern minister of the local church. Reverend Brown takes his role very seriously and often clashes with the more irreverent characters in the town. He is also secretly in love with Abigail and tries to win her over with his piety.The character loves to act in Sitcom.The character lives in USA,"[-0.00377889 -0.0205873  -0.00985825 ... -0.00250843 -0.03394825
 -0.01201576]"
52,The name of the character is Captain James.The character description is: The charismatic and dashing captain of the local militia. Captain James is a ladies' man and enjoys flirting with the women of the town. He has a friendly rivalry with Reverend Brown and often teases him about his piousness.The character loves to act in Sitcom.The character lives in USA,"[-0.01052244 -0.01278583 -0.00303121 ... -0.00225004 -0.02191284
 -0.01198463]"
53,The name of the character is Mrs. Mercer.The character description is: The matriarch of the wealthiest family in Williamsburg. Mrs. Mercer is a bit of a snob and enjoys reminding everyone of her social standing. She often hires Abigail to work in her home and is very demanding.The character loves to act in Sitcom.The character lives in USA,"[-0.01751618 -0.00755121 -0.02130167 ... -0.01909896 -0.03096986
  0.00643667]"
54,The name of the character is Mr. Mercer.The character description is: The bumbling and absent-minded patriarch of the Mercer family. Mr. Mercer is often clueless about what is going on around him and relies on his wife to keep him in line. He has a secret love of practical jokes and often finds himself in trouble because of them.The character loves to act in Sitcom.The character lives in USA,"[-0.00178137 -0.01273616 -0.00578946 ... -0.00776912 -0.0229368
 -0.00461597]"
